time,status,waterLevel,waterSpeed
1:36:06 PM,AMAN,0,0
1:36:08 PM,AMAN,0,0
1:36:09 PM,AMAN,0,0
1:36:10 PM,AMAN,0,0
1:36:11 PM,AMAN,0,0
1:36:12 PM,AMAN,0,0
1:36:14 PM,AMAN,0,0
1:36:15 PM,AMAN,0,0
1:36:16 PM,AMAN,0,0
1:36:17 PM,AMAN,0,0
1:36:18 PM,AMAN,0,0
1:36:19 PM,AMAN,0,0
1:36:21 PM,AMAN,0,0
1:36:22 PM,AMAN,0,0
1:36:23 PM,AMAN,0,0
1:36:24 PM,AMAN,0,0
1:36:25 PM,AMAN,0,0
1:36:27 PM,AMAN,0,0
1:36:28 PM,AMAN,0,0
1:36:29 PM,AMAN,0,0
1:36:30 PM,AMAN,0,0
1:36:31 PM,AMAN,0,0
1:36:34 PM,AMAN,0,0
1:36:35 PM,AMAN,0,0
1:36:37 PM,AMAN,0,0
1:36:38 PM,AMAN,0,0
1:36:39 PM,AMAN,0,0
1:36:40 PM,AMAN,0,0
1:36:42 PM,AMAN,0,0
1:36:43 PM,AMAN,0,0
1:36:44 PM,AMAN,0,0
1:36:45 PM,AMAN,0,0
1:36:46 PM,AMAN,0,0
1:36:47 PM,AMAN,0,0
1:36:48 PM,AMAN,0,0
1:36:50 PM,AMAN,0,0
1:36:51 PM,AMAN,0,0
1:36:52 PM,AMAN,0,0
1:36:53 PM,AMAN,0,0
1:36:54 PM,AMAN,0,0
1:36:55 PM,AMAN,0,0
1:36:56 PM,AMAN,0,0
1:36:58 PM,AMAN,0,0
1:36:59 PM,AMAN,0,0
1:37:00 PM,AMAN,0,0
1:37:01 PM,AMAN,0,0
1:37:02 PM,AMAN,0,0
1:37:03 PM,AMAN,0,0
1:37:04 PM,AMAN,0,0
1:37:06 PM,AMAN,0,0
1:37:07 PM,AMAN,0,0
1:37:11 PM,AMAN,0,0
1:37:12 PM,AMAN,0,0
1:37:13 PM,AMAN,0,0
1:37:14 PM,AMAN,0,0
1:37:16 PM,AMAN,0,0
1:37:17 PM,AMAN,0,0
1:37:18 PM,AMAN,0,0
1:37:19 PM,AMAN,0,0
1:37:21 PM,AMAN,0,0
1:37:22 PM,AMAN,0,0
1:37:26 PM,AMAN,0,0
1:37:27 PM,AMAN,0,0
1:37:28 PM,AMAN,0,0
1:37:29 PM,AMAN,0,0
1:37:30 PM,AMAN,0,0
1:37:32 PM,AMAN,0,0
1:37:33 PM,AMAN,0,0
1:37:34 PM,AMAN,0,0
1:37:35 PM,AMAN,0,0
1:37:36 PM,AMAN,0,0
1:37:38 PM,AMAN,0,0
1:37:40 PM,AMAN,0,0
1:37:41 PM,AMAN,0,0
1:37:42 PM,AMAN,0,0
1:37:46 PM,AMAN,0,0
1:37:47 PM,AMAN,0,0
1:37:48 PM,AMAN,0,0
1:37:50 PM,AMAN,0,0
1:37:51 PM,AMAN,0,0
1:37:52 PM,AMAN,0,0
1:37:53 PM,AMAN,0,0
1:37:54 PM,AMAN,0,0
1:37:55 PM,AMAN,0,0
1:37:56 PM,AMAN,0,0
1:37:58 PM,AMAN,0,0
1:37:59 PM,AMAN,0,0
1:38:00 PM,AMAN,0,0
1:38:02 PM,AMAN,0,0
1:38:03 PM,AMAN,0,0
1:38:04 PM,AMAN,0,0
1:38:07 PM,AMAN,0,0
1:38:08 PM,AMAN,0,0
1:38:10 PM,AMAN,0,0
1:38:11 PM,AMAN,0,0
1:38:12 PM,AMAN,0,0
1:38:13 PM,AMAN,0,0
1:38:14 PM,AMAN,0,0
1:38:16 PM,AMAN,0,0
1:38:17 PM,AMAN,0,0
1:38:18 PM,AMAN,0,0
1:38:20 PM,AMAN,0,0
1:38:21 PM,AMAN,0,0
1:38:22 PM,AMAN,0,0
1:38:24 PM,AMAN,0,0
1:38:25 PM,AMAN,0,0
1:38:26 PM,AMAN,0,0
1:38:27 PM,AMAN,0,0
1:38:28 PM,AMAN,0,0
1:38:29 PM,AMAN,0,0
1:38:31 PM,AMAN,0,0
1:38:32 PM,AMAN,0,0
1:38:33 PM,AMAN,0,0
1:38:34 PM,AMAN,0,0
1:38:35 PM,AMAN,0,0
1:38:37 PM,AMAN,0,0
1:38:38 PM,AMAN,0,0
1:38:40 PM,AMAN,0,0
1:38:41 PM,AMAN,0,0
1:38:42 PM,AMAN,0,0
1:38:43 PM,AMAN,0,0
1:38:45 PM,AMAN,0,0
1:38:46 PM,AMAN,0,0
1:38:47 PM,AMAN,0,0
1:38:48 PM,AMAN,0,0
1:38:50 PM,AMAN,0,0
1:38:51 PM,AMAN,0,0
1:38:52 PM,AMAN,0,0
1:38:54 PM,AMAN,0,0
1:38:55 PM,AMAN,0,0
1:38:57 PM,AMAN,0,0
1:38:58 PM,AMAN,0,0
1:38:59 PM,AMAN,0,0
1:39:01 PM,AMAN,0,0
1:39:02 PM,AMAN,0,0
1:39:03 PM,AMAN,0,0
1:39:04 PM,AMAN,0,0
1:39:05 PM,AMAN,0,0
1:39:06 PM,AMAN,0,0
1:39:08 PM,AMAN,0,0
1:39:09 PM,AMAN,0,0
1:39:10 PM,AMAN,0,0
1:39:11 PM,AMAN,0,0
1:39:13 PM,AMAN,0,0
1:39:14 PM,AMAN,0,0
1:39:15 PM,AMAN,0,0
1:39:16 PM,AMAN,0,0
1:39:17 PM,AMAN,0,0
1:39:18 PM,AMAN,0,0
1:39:20 PM,AMAN,0,0
1:39:21 PM,AMAN,0,0
1:39:22 PM,AMAN,0,0
1:39:23 PM,AMAN,0,0
1:39:24 PM,AMAN,0,0
1:39:25 PM,AMAN,0,0
1:39:27 PM,AMAN,0,0
1:39:28 PM,AMAN,0,0
1:39:29 PM,AMAN,0,0
1:39:30 PM,AMAN,0,0
1:39:31 PM,AMAN,0,0
1:39:32 PM,AMAN,0,0
1:39:33 PM,AMAN,0,0
1:39:35 PM,AMAN,0,0
1:39:36 PM,AMAN,0,0
1:39:37 PM,AMAN,0,0
1:39:38 PM,AMAN,0,0
1:39:42 PM,AMAN,0,0
1:39:43 PM,AMAN,0,0
1:39:47 PM,AMAN,0,0
1:39:48 PM,AMAN,0,0
1:39:49 PM,AMAN,0,0
1:39:50 PM,AMAN,0,0
1:39:51 PM,AMAN,0,0
1:39:55 PM,AMAN,0,0
1:39:58 PM,AMAN,0,0
1:39:59 PM,AMAN,0,0
1:40:00 PM,AMAN,0,0
1:40:01 PM,AMAN,0,0
1:40:02 PM,AMAN,0,0
1:40:03 PM,AMAN,0,0
1:40:05 PM,AMAN,0,0
1:40:06 PM,AMAN,0,0
1:40:07 PM,AMAN,0,0
1:40:08 PM,AMAN,0,0
1:40:09 PM,AMAN,0,0
1:40:10 PM,AMAN,0,0
1:40:12 PM,AMAN,0,0
1:40:13 PM,AMAN,0,0
1:40:14 PM,AMAN,0,0
1:40:15 PM,AMAN,0,0
1:40:16 PM,AMAN,0,0
1:40:17 PM,AMAN,0,0
1:40:18 PM,AMAN,0,0
1:40:20 PM,AMAN,0,0
1:40:21 PM,AMAN,0,0
1:40:22 PM,AMAN,0,0
1:40:23 PM,AMAN,0,0
1:40:24 PM,AMAN,0,0
1:40:25 PM,AMAN,0,0
1:40:26 PM,AMAN,0,0
1:40:28 PM,AMAN,0,0
1:40:29 PM,AMAN,0,0
1:40:30 PM,AMAN,0,0
1:40:31 PM,AMAN,0,0
1:40:32 PM,AMAN,0,0
1:40:34 PM,AMAN,0,0
1:40:35 PM,AMAN,0,0
1:40:37 PM,AMAN,0,0
1:40:38 PM,AMAN,0,0
1:40:39 PM,AMAN,0,0
